Arctopsyche sp. AA,AAアミメシマトビケラ
Bagous subvittatus,Bagous subvittatus
Bagous tuberculosus,Bagous tuberculosus
Bagous yamazakii,Bagous yamazakii
Bagous youngi,Bagous youngi
Bambusana jenjouristi,Bambusana jenjouristi
Bathysmatophorus kurilensis,Bathysmatophorus kurilensis
Batobaris rubi,Batobaris rubi
Batracomorphus chlorophana,Batracomorphus chlorophana
Batriscenellus orientalis,Batriscenellus orientalis
Beauchampia,Beauchampia属
Beleses zonalis,Beleses zonalis
Bellardia menechmoides,Bellardia menechmoides
Bellardia obsoleta,Bellardia obsoleta
Bellardia pusilla,Bellardia pusilla
Belocera sinensis,Belocera sinensis
Benibotarus krivolutzkii,Benibotarus krivolutzkii
Beringomyia deprava,Beringomyia deprava
Beris angustifacies,Beris angustifacies
Beris crassitarsis,Beris crassitarsis
Beris hirotsui,Beris hirotsui
Beris nebulosa,Beris nebulosa
Beris strobli,Beris strobli
Besuchetionella nipponica,Besuchetionella nipponica
Bibio ainoi,Bibio ainoi
Bibio deceptus,Bibio deceptus
Bibio medianus,Bibio medianus
Bibio metaclavipes,Bibio metaclavipes
Bibio montanus,Bibio montanus
Bibio nigriclavipes,Bibio nigriclavipes
Bibio obuncus,Bibio obuncus
Bibio singularis,Bibio singularis
Bimastus sp.,Bimastus sp.
Blennocampa nipponica,Blennocampa nipponica
Blera basalis,Blera basalis
Bombylius fulvibasis,Bombylius fulvibasis
Bosmina tanakai,Bosmina tanakai
Botryococcus braunii,Botryococcus braunii
Brachionus angularis f.pseudokeikoa,Brachionus angularis f.pseudokeikoa
Brachionus calyciflorus f.amphiceros,Brachionus calyciflorus f.amphiceros
Brachionus calyciflorus f.anuraeiformis,Brachionus calyciflorus f.anuraeiformis
Brachionus calyciflorus var.dorcas,Brachionus calyciflorus var.dorcas
Brachionus caudatus,Brachionus caudatus
Brachionus dimidiatus,Brachionus dimidiatus
Brachycara yukawai,Brachycara yukawai
Brachymeria bengalensis,Brachymeria bengalensis
Brachymeria euploeae,Brachymeria euploeae
Brachymeria obtusata,Brachymeria obtusata
Brachymeria rugubris,Brachymeria rugubris
Brachymeria ryukyuensis,Brachymeria ryukyuensis
Brachymyrmex sp.,Brachymyrmex sp.
Bradycellus nipponensis,Bradycellus nipponensis
Bradysia boninensis,Bradysia boninensis
Bradysia cardiocrivora,Bradysia cardiocrivora
Bradysia delectabilis,Bradysia delectabilis
Bradysia lilienthalae,Bradysia lilienthalae
Bradysia longimentula,Bradysia longimentula
Bradysia sachalinensis,Bradysia sachalinensis
Bradysia scabricornis,Bradysia scabricornis
Bradysia sybhilaris,Bradysia subhilaris
Bradysia trispinifera,Bradysia trispinifera
Brevantennia parthenogenesis,Brevantennia parthenogenesis
Bryodrilus sp.,Bryodrilus sp.
Bryophaenocladius akiensis,Bryophaenocladius akiensis
Bryophaenocladius xanthogyne,Bryophaenocladius xanthogyne
Busarbidea japonica,Busarbidea japonica
Caccodes kanekoi,Caccodes kanekoi
Caenocephus akiyamai,Caenocephus akiyamai
Caenocephus xanthopus,Caenocephus xanthopus
Caliroa quercivora,Caliroa quercivora
Caliroa varipes,Caliroa varipes
Callicera aenea,Callicera aenea
Calliphora zaidamensis,Calliphora zaidamensis
Calyptopygus kumei,Calyptopygus kumei
Canarsia vittatella,Canarsia vittatella
Cantharis heleocharis,Cantharis heleocharis
Cantharis plebeja,Cantharis plebeja
Carazziella sp.,Carazziella sp.
Cardiocladius esakii,Cardiocladius esakii
Carpelimus japonicus,Carpelimus japonicus
Catapionus angusticollis,Catapionus angusticollis
Catapionus cuprescens,Catapionus cuprescens
Catapionus gracilicornis oblongus,Catapionus gracilicornis oblongus
Catastia furvicostella,Catastia furvicostella
Catops akiyamai,Catops akiyamai
Catops andoi,Catops andoi
Catops dorogawensis,Catops dorogawensis
Catops fujitaniorum,Catops fujitaniorum
Catops fuscifrons,Catops fuscifrons
Catops fuscus repentinus,Catops fuscus repentinus
Catops houyai,Catops houyai
Catops ishidai,Catops ishidai
Catops shibatai,Catops shibatai
Catops tanakai,Catops tanakai
Catops tanbaensis,Catops tanbaensis
Catoptria hokusaii,Catoptria hokusaii
Catoptria inouella,Catoptria inouella
Catoptyx matthewsi,Catoptyx matthewsi
Caenis sp. CA,CAヒメシロカゲロウ
Caenis sp. CB,CBヒメシロカゲロウ
Cephalcia antennata,Cephalcia antennata
Cephalcia ruficornis,Cephalcia ruficornis
Cephalochrysa stenogaster,Cephalochrysa stenogaster
Cephus brachycercus,Cephus brachycercus
Ceraclea acutipennis,Ceraclea acutipennis
Ceraclea sp. LB,Ceraclea sp. LB
Ceraclea sp. LC,Ceraclea sp. LC
Ceraclea takatsunis,Ceraclea takatsunis
Ceraclea variabilis,Ceraclea variabilis
Ceratium hirundinella,Ceratium hirundinella
Ceratonereis japonica,Ceratonereis japonica
Ceropales albicincta,Ceropales albicincta
Ceropales nohirae,Ceropales nohirae
Ceropales tokyoensis,Ceropales tokyoensis
Ceutorhynchus asiaticus,Ceutorhynchus asiaticus
Chaetabraeus cohaeres,Chaetabraeus cohaeres
Chaetocladius antipovae,Chaetocladius antipovae
Chaetocladius oyabevenustus,Chaetocladius oyabevenustus
Chaetocladius shouangulatus,Chaetocladius shouangulatus
Chaetocladius toganomalis,Chaetocladius toganomalis
Chaetocnema confinis,Chaetocnema confinis
Chalcosyrphus okadomei,Chalcosyrphus okadomei
Chamaedrilus sp.,Chamaedrilus sp.
Chasmatonotus brevicornis,Chasmatonotus brevicornis
Chasmatonotus parabicolor,Chasmatonotus parabicolor
Chasmatonotus saigusai,Chasmatonotus saigusai
Chasmatonotus unilobus,Chasmatonotus unilobus
Cheilosia albipes,Cheilosia albipes
Cheilosia canicularis,Cheilosia canicularis
Cheilosia fluvipes,Cheilosia fluvipes
Cheilosia illustrata,Cheilosia illustrata
Cheilosia nopporoana,Cheilosia nopporoana
Cheilosia rufipes,Cheilosia rufipes
Cheilosia tupro,Cheilosia tupro
Cheilotrichia brumalis,Cheilotrichia brumalis
Cheilotrichia japonica,Cheilotrichia japonica
Cheilotrichia laetipennis,Cheilotrichia laetipennis
Cheilotrichia microtrichiata,Cheilotrichia microtrichiata
Cheilotrichia nigroapicalis,Cheilotrichia nigroapicalis
Cheumatopsyche addita,Cheumatopsyche addita
Cheumatopsyche guerneana,Cheumatopsyche guerneana
Cheumatopsyche japonica,Cheumatopsyche japonica
Cheumatopsyche tokunagai,Cheumatopsyche tokunagai
Chiasmus mustelinus,Chiasmus mustelinus
Chironomus fujitertius,Chironomus fujitertius
Chironomus tainanus,Chironomus tainanus
Chironomus trinigrrivittatus,Chironomus trinigrrivittatus
Chloriona arakawai,Chloriona arakawai
Chlorita hakonella,Chlorita hakonella
Chlorita kisuji,Chlorita kisuji
Chlorita matsumurai,Chlorita matsumurai
Chodatella-Lagerheimia-Franceia,Chodatella-Lagerheimia-Franceia属
Choragus konishii,Choragus konishii
Chorisops maculiala,Chorisops maculiala
Chromogaster,Chromogaster属
Chrysops potanini,Chrysops potanini
Chrysosoma crinicorne,Chrysosoma crinicorne
Chrysotoxum asiaticum,Chrysotoxum asiaticum
Chrysotoxum fasciatum,Chrysotoxum fasciatum
Chrysotoxum graciosum,Chrysotoxum graciosum
Chrysotus sp.,Chrysotus sp.
Chymomyza aldrichii,Chymomyza aldrichii
Cicones boninus,Cicones boninus
Circobotys uniformis,Circobotys uniformis
Cis rufocastaneus,Cis rufocastaneus
Citripestis sagittiferella,Citripestis sagittiferella
Cixidia okunii,Cixidia okunii
Cixius hachijonis,Cixius hachijonis
Cixius ibukisanus,Cixius ibukisanus
Cixius matsumurai,Cixius matsumurai
Clada okinawana,Clada okinawana
Cladotanytarsus utonaiquartus,Cladotanytarsus utonaiquartus
Cladura alpicola alpicola,Cladura alpicola alpicola
Cladura alpicola setuliloba,Cladura alpicola setuliloba
Cladura autumna,Cladura autumna
Cladura babai,Cladura babai
Cladura bicornuta,Cladura bicornuta
Cladura bidens,Cladura bidens
Cladura brevifila,Cladura brevifila
Cladura daimio,Cladura daimio
Cladura decemnotata,Cladura decemnotata
Cladura fuscivena,Cladura fuscivena
Cladura hakonensis hakonensis,Cladura hakonensis hakonensis
Cladura hakonensis porrecta,Cladura hakonensis porrecta
Cladura itoi,Cladura itoi
Cladura japonica,Cladura japonica
Cladura machidella,Cladura machidella
Cladura megacauda,Cladura megacauda
Cladura microphallus,Cladura microphallus
Cladura monacantha fimbriata,Cladura monacantha fimbriata
Cladura monacantha monacantha,Cladura monacantha monacantha
Cladura nipponensis,Cladura nipponensis
Cladura recurvalis,Cladura recurvalis
Cladura sawanoi,Cladura sawanoi
Cladura serrimargao,Cladura serrimargao
Cladura shirahatai,Cladura shirahatai
Cladura shomio,Cladura shomio
Cladura supernumeraria,Cladura supernumeraria
Cladura telephallus,Cladura telephallus
Cladura tetraspila,Cladura tetraspila
Cladura trifilosa,Cladura trifilosa
Clambus hisamatsui,Clambus hisamatsui
Clambus loebli,Clambus loebli
Clambus pallidulus shinto,Clambus pallidulus shinto
Clambus vulneratus,Clambus vulneratus
Cleopus japonicus,Cleopus japonicus
Clinocera sp.,Clinocera sp.
Closterium aciculare,Closterium aciculare
Closterium,Closterium属
Clubiona frutetorum,Clubiona frutetorum
Clubiona mutilata,Clubiona mutilata
Clubiona subsultans,Clubiona subsultans
Clubiona vigillella,Clubiona vigillella
Clunio prupureus,Clunio prupureus
Cocconeis,Cocconeis属
Coelastrum,Coelastrum属
Coeliodinus etorofuensis,Coeliodinus etorofuensis
Coelosphaerium,Coelosphaerium属
Colenis agrandis,Colenis agrandis
Colladonus torneellus,Colladonus torneellus
Colpodes elainus hiroshimae,Colpodes elainus hiroshimae
Colpodes hakonus takachihoi,Colpodes hakonus takachihoi
Colpodes kyushuensis kyushuensis,Colpodes kyushuensis kyushuensis
Colpodes kyushuensis shikokuensis,Colpodes kyushuensis shikokuensis
Colpodes mutsuomiyatakei sandankyonis,Colpodes mutsuomiyatakei sandankyonis
Condylostylus japonicus,Condylostylus japonicus
Condylostylus luteicoxa,Condylostylus luteicoxa
Conobathra rufofusella,Conobathra rufofusella
Copadichromis sp.,Copadichromis属
Coracodelphax obscura,Coracodelphax obscura
Corellidae,Corellidae
Coronatella rectangula,Coronatella rectangula
Corydoras aeneus,Corydoras aeneus
Corydoras paleatus,Corydoras paleatus
Corymbas chujoi,Corymbas chujoi
Corynoneura fujiundecima,Corynoneura fujiundecima
Corynoptera bipartita,Corynoptera bipartita
Corynoptera dumosa,Corynoptera dumosa
Camptochaeta tenuipalpalis,Corynoptera tenuipalpalis
Cosmarium,Cosmarium属
Cossura coasta,Cossura coasta
Craesus betulae,Craesus betulae
Craesus platycaryae,Craesus platycaryae
Craesus rotundiformis,Craesus rotundiformis
Craesus shinoharai,Craesus shinoharai
Craticula,Craticula属
Cricotopus bifascia,Cricotopus bifascia
Cricotopus biwannulatus,Cricotopus biwannulatus
Cricotopus brevilobus,Cricotopus brevilobus
Cricotopus flavibasalis,Cricotopus flavibasalis
Cricotopus flavipunctatus,Cricotopus flavipunctatus
Cricotopus flavocinctus,Cricotopus flavocinctus
Cricotopus jogantertius,Cricotopus jogantertius
Cricotopus matudigitatus,Cricotopus matudigitatus
Cricotopus nishikiensis,Cricotopus nishikiensis
Cricotopus osarudigitatus,Cricotopus osarudigitatus
Cricotopus osaruquartus,Cricotopus osaruquartus
Cricotopus pulchripes,Cricotopus pulchripes
Cricotopus seiryuabeus,Cricotopus seiryuabeus
Cricotopus tamannulatus,Cricotopus tamannulatus
Cricotopus tamasimplex,Cricotopus tamasimplex
Cricotopus togacutus,Cricotopus togacutus
Cricotopus togaspadix,Cricotopus togaspadix
Cricotopus yunoquintus,Cricotopus yunoquintus
Criotettix saginatus,Criotettix saginatus
Critonia roseistrigella,Critonia roseistrigella
Croesus morimotoi,Croesus morimotoi
Crucigenia-Crucigeniella,Crucigenia-Crucigeniella属
Cryptocephalus perelegans insulais,Cryptocephalus perelegans insulais
Cryptocephalus perelegans takahasii,Cryptocephalus perelegans takahasii
Cryptocephalus perelegans yonaguniensis,Cryptocephalus perelegans yonaguniensis
Cryptoperla formosana,Cryptoperla formosana
Ctenophora laeta,Ctenophora laeta
Ctenosciara insolita,Ctenosciara insolita
Culicoides charadraeus,Culicoides charadraeus
Culicoides kibunensis,Culicoides kibunensis
Curculio rubidus,Curculio rubidus
Curimopsis ainuorum,Curimopsis ainuorum
Curimopsis ezoensis,Curimopsis ezoensis
Curimopsis hokkaidoensis,Curimopsis hokkaidoensis
Curimopsis horii,Curimopsis horii
Curimopsis lewisi,Curimopsis lewisi
Curimopsis moosilauke,Curimopsis moosilauke
Curimopsis motoyamaensis,Curimopsis motoyamaensis
Curimopsis takizawai,Curimopsis takizawai
Curimopsis teuriensis,Curimopsis teuriensis
Curimopsis yoshitomii,Curimopsis yoshitomii
Cuspidothrix,Cuspidothrix属
Cyathura japonica,Cyathura japonica
Cyclotella meneghiniana,Cyclotella meneghiniana
Cycnotrachelus cyanopterus,Cycnotrachelus cyanopterus
Cylindrospermum,Cylindrospermum属
Cymbella(sensu lato),Cymbella属(広義)
Cyphauleutes alternanus,Cyphauleutes alternanus
Cyphosenus longipes,Cyphosenus longipes
Cyrtoplastus punctatoseriatus,Cyrtoplastus punctatoseriatus
Dacne osawai,Dacne osawai
Dactylolabis longicauda longicauda,Dactylolabis longicauda longicauda
Dactylolabis longicauda megastylata,Dactylolabis longicauda megastylata
Dahlica parthenogenesis,Dahlica parthenogenesis
Dalopius kushiroensis,Dalopius kushiroensis
Damalis vitripennis,Damalis vitripennis
Daphnia obtusa,Daphnia obtusa
Daphnia pulex,Daphnia pulex
Dasysyrphus albostriatus,Dasysyrphus albostriatus
Dasysyrphus convexigaster,Dasysyrphus convexigaster
Diplectrona sp. DA,DAミヤマシマトビケラ
Diplectrona sp. DC,DCミヤマシマトビケラ
Decanematus longus,Decanematus longus
Delphacodes dogensis,Delphacodes dogensis
Deltocephalus bipunctatus,Deltocephalus bipunctatus
Deltocephalus ogumae,Deltocephalus ogumae
Deltocephalus sapporonis,Deltocephalus sapporonis
Demicryptochironomus chuzequartus,Demicryptochironomus chuzequartus
Demicryptochironomus oyabeprimus,Demicryptochironomus oyabeprimus
Demicryptochironomus tamacutus,Demicryptochironomus tamacutus
Demicryptochironomus vulneratus,Demicryptochironomus vulneratus
Demonax sp.,Demonax sp.
Dendrobaena sp.,Dendrobaena sp.
Dendrolasiophilus monstrotibialis,Dendrolasiophilus monstrotibialis
Derelomus bicarinatus,Derelomus bicarinatus
Dermatodes carinulatus,Dermatodes carinulatus
Dermatodes costatus,Dermatodes costatus
Dermatodes interstitialis,Dermatodes interstitialis
Dermatohomoeus portevini,Dermatohomoeus portevini
Deropygus cavus,Deropygus cavus
Deropygus maedai,Deropygus maedai
Deropygus uedai,Deropygus uedai
Diamesa insignipes,Diamesa insignipes
