ヒイラギモクセイ,,,,,,,,,,,,,,,,,1,
ヒエガエリ,,,1,,,1,1,,,,,,,,,,,
ヒオウギ,,,,,,,,,,,,,,,,,1,
ヒカゲイノコズチ,,,,,,,,,,1,,,,,,,,
ヒカゲスゲ,,,,,,,,,,1,1,,,,,,,
ヒカゲノカズラ,,,,,,,,,,,1,,,,,,,
ヒカゲヒメジソ,,,,,,,,,,,1,,,,,,,
ヒカゲミツバ,,,,,,,,,,1,,,,,,,,
ヒカゲワラビ,,,,,,,,,,1,,,,,,,,
ヒガンバナ,,,,,,,,,,1,,1,,,,,,
ヒキオコシ,,,,,,,,,,1,,,,,,,,
ヒゲアブラガヤ,,,,,,,,,,,,1,,,,,,
ヒゲケマルバスミレ,,,,,,,,,,,,,,,,1,,
ヒゲナガスズメノチャヒキ,,,,,,,,,,,,,,,,1,,
ヒゲノガリヤス,,,,,,,,,,,1,,,,,1,,
ヒゴクサ,,,,,,,,,,1,,,,,,,,
ヒゴグサ,,1,1,,,,,,,,,,,,,,,
ヒゴロモソウ,,,,,,,,,,,,,,,,1,,
ヒサウチソウ,,,,,,,,,,,1,,,,,,,
ヒサカキ,,,,,,,,,,1,,,,,,,,
ヒシ,,,,,,1,,,,,,,,,,,,
ヒダカノリウツギ,,,,,,,,,,1,1,,,,,,,
ヒダボタン,,,,,,,,,,1,,,,,,,,
ヒデリコ,,,,,,,,,,,1,,,,,,,
ヒトツバ,,,,,,,,,,,,,,,,,1,
ヒトツバカエデ,,,,,,,,,,,1,,,,,,,
ヒトツバハギ,,,,,,,,,,1,,,,,,,,
ヒトリシズカ,,,,,,,,,,,1,,,,,,1,
ヒナウキクサ,,,,,,,,,,1,,,1,,,,1,
ヒナウチワカエデ,,,,,,,,,,,,,,,,,,
ヒナガヤツリ,,1,1,,,,,,,,,,,,,,,
ヒナキキョウソウ,,,,,,,,,,,,,,,,,1,
ヒナギキョウ,,,,,,,,,,,,,,,,,,
ヒナギク,,,,,,,,,,,,,,,,,1,
ヒナゲシ,,,,,,,,,,,1,,,,,,,
ヒナスミレ,,,,,,,,,,1,,,,,,,,1
ヒナタイノコズチ,,,,,,,,,,,,,,,,,1,
ヒナタイノコヅチ,,,,,,,,,,,,,,,,,1,
ヒナノウスツボ,,,,,,,,,,1,,,,,,,,
ヒナノシャクジョウ,,,,,,,,,,1,,,,,,,,
ヒノキ,,,,,,,,,,1,,,,,,,,
ヒノキバヤドリギ,,,,,,,,,,,1,,,,,,,
ヒメアオガヤツリ,,,1,,,,,,,,,,,,1,,,
ヒメアオキ,,,,,,,,,,1,1,,,,,,,
ヒメアギスミレ,,,,,,,,,,,,,,,,,,
ヒメアザミ,,,,,,,,,,,,,,,,,1,
ヒメアシボソ,,,,,,,,,,1,1,,,,,,,
ヒメアブラススキ,,,,,,,,,,1,,,,,,,,
ヒメアメリカアゼナ,,,,,,,,,,,1,,,,,,,
ヒメイタチシダ,,,,,,,,,,1,,,,,,,,
ヒメイタチシダ（広義）,,,,,,,,,,,,,,,,,,
ヒメイタビ,,,,,,,,,,,1,,,,,,,
ヒメイヌガラシ,,,,,,,,,,,1,,,,,,,
ヒメイヌビエ,,,,,,,,,,,1,,,,,,1,
ヒメイワダレソウ,,,,,,,,,,,,1,,,,,,
ヒメウキクサ,,,,,,1,,,,,,,,,,,,
ヒメウコギ,,,,,,,,,,,,,,,,,1,
